timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
514,400200,"North Ave at Peachtree St",,33.771285,-84.385403,,,,,,0
533,400005,"Dacula Park and Ride (Hebron Church)",,33.998767,-83.907051,,,,,,0
619,102156,"MLK Jr Dr at Peachtree St",,33.751909,-84.391670,,,,,,0
623,600001,"Baker St at Peachtree St",,33.762346,-84.387030,,,,,,0
632,400502,"Thornton Rd (N) at Bankhead Hwy",,33.797560,-84.643580,,,,,,0
717,400201,"Ponce De Leon Ave at W Peachtree St",,33.772409,-84.387619,,,,,,0
754,400100,"Central Ave at MLK Jr Dr",,33.751016,-84.389602,,,,,,0
755,600002,"Central Ave at Wall St",,33.752425,-84.388418,,,,,,0
756,600007,"Civic Center MARTA Station (northbound)",,33.766499,-84.387414,,,,,,0
758,600008,"Civic Center MARTA Station (southbound)",,33.765761,-84.387636,,,,,,0
760,400112,"Courtland St at Gilmer St",,33.753385,-84.385553,,,,,,0
761,400004,"Cumming Park and Ride",,34.181736,-84.142303,,,,,,0
763,400006,"Douglas MMTC Park and Ride",,33.743237,-84.726142,,,,,,0
765,400007,"East Conyers Park and Ride",,33.641222,-83.986899,,,,,,0
767,600004,"Forsyth St at MLK Jr Dr",,33.752359,-84.393969,,,,,,0
771,400009,"Hampton Park and Ride",,33.381316,-84.299131,,,,,,0
773,600005,"John Portman Blvd at Courtland St",,33.760902,-84.384531,,,,,,0
776,400601,"Lindbergh Center MARTA Station",,33.821361,-84.369040,,,,,,0
778,400103,"Mitchell St at Forsyth St",,33.751731,-84.394568,,,,,,0
779,102534,"Mitchell St at Peachtree St",,33.751005,-84.393271,,,,,,0
780,600013,"North Ave MARTA Station",,33.772122,-84.387263,,,,,,0
781,211644,"Peachtree St at MARTA Five Points Station",,33.753376,-84.390762,,,,,,0
782,400215,"Peachtree St at Renaissance Pkwy",,33.768489,-84.385154,,,,,,0
783,102028,"Pryor St at Garnett St",,33.748349,-84.393486,,,,,,0
784,400104,"Pryor St at Mitchell St",,33.750760,-84.391590,,,,,,0
786,400309,"Sandy Springs MARTA Station",,33.931592,-84.350765,,,,,,0
788,400019,"Snellville Park and Ride",,33.854053,-84.014637,,,,,,0
791,400205,"Spring St just before Linden Ave",,33.770226,-84.388960,,,,,,0
793,60013,"Sugarloaf Mills GCT Park and Ride",,33.983528,-84.084139,,,,,,0
795,400505,"Thornton Rd (N) at North Blairs Bridge Rd",,33.779532,-84.606890,,,,,,0
797,400023,"Town Center/Big Shanty Park and Ride",,34.027644,-84.570422,,,,,,0
800,400024,"Union City Park and Ride",,33.586724,-84.512376,,,,,,0
802,400106,"Wall St at Central Ave",,33.752609,-84.388563,,,,,,0
803,400025,"West Conyers Park and Ride (DT)",,33.685268,-84.059012,,,,,,0
805,400028,"West Douglas Park and Ride",,33.723283,-84.773527,,,,,,0
807,400206,"West Peachtree St at 12th St",,33.784254,-84.387771,,,,,,0
808,600011,"West Peachtree St at Peachtree Pl",,33.780610,-84.387337,,,,,,0
809,400026,"West Conyers Park and Ride (MT/Peri)",,33.685082,-84.056727,,,,,,0
833,400030,"Hickory Grove Park and Ride",,34.065810,-84.610719,,,,,,0
836,400501,"Thornton Rd (S) at Bankhead Hwy",,33.797373,-84.643698,,,,,,0
