stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
190,210155,"Peachtree Center Ave at John Wesley Dobbs Ave",,33.756949,-84.386029,,,,,,0
191,210762,"Courtland St at Auburn Ave",,33.756245,-84.384356,,,,,,0
192,211005,"Ted Turner Dr (N) at Brotherton St",,33.748751,-84.397972,,,,,,0
193,211546,"Peachtree Center Ave at Peachtree St",,33.763523,-84.385911,,,,,,0
194,211644,"Peachtree St at MARTA Five Points Station",,33.753376,-84.390762,,,,,,0
195,400001,"Acworth Park and Ride",,34.077262,-84.656460,,,,,,0
196,400002,"BrandsMart Park and Ride",,33.547074,-84.285489,,,,,,0
198,400004,"Cumming Park and Ride",,34.181736,-84.142303,,,,,,0
199,400005,"Dacula Park and Ride (Hebron Church)",,33.998767,-83.907051,,,,,,0
200,400006,"Douglas MMTC Park and Ride",,33.743237,-84.726142,,,,,,0
201,400007,"East Conyers Park and Ride",,33.641222,-83.986899,,,,,,0
202,400008,"Hamilton Mill Park and Ride",,34.075200,-83.921589,,,,,,0
203,400009,"Hampton Park and Ride",,33.381316,-84.299131,,,,,,0
204,400010,"Hewatt Rd Park and Ride",,33.839357,-84.059862,,,,,,0
205,400011,"Hiram Park and Ride",,33.885265,-84.739201,,,,,,0
206,400012,"Jonesboro Park and Ride",,33.524296,-84.362082,,,,,,0
207,400013,"Mall of Georgia Park and Ride",,34.067771,-83.982602,,,,,,0
208,400014,"McDonough Park and Ride",,33.416873,-84.181227,,,,,,0
209,400015,"Newnan Park and Ride",,33.403708,-84.723119,,,,,,0
210,400016,"Panola Rd Park and Ride",,33.702199,-84.173405,,,,,,0
211,400017,"Powder Springs Park and Ride",,33.867512,-84.701564,,,,,,0
212,400018,"Riverdale Park and Ride",,33.567950,-84.403474,,,,,,0
213,400019,"Snellville Park and Ride",,33.854053,-84.014637,,,,,,0
214,400020,"Stockbridge Park and Ride",,33.548174,-84.278993,,,,,,0
215,400021,"Stone Mountain Park and Ride",,33.822415,-84.109955,,,,,,0
216,400022,"Sugarloaf Mills GRTA Park and Ride",,33.984276,-84.079485,,,,,,0
217,400023,"Town Center/Big Shanty Park and Ride",,34.027644,-84.570422,,,,,,0
218,400024,"Union City Park and Ride",,33.586724,-84.512376,,,,,,0
219,400025,"West Conyers Park and Ride (DT)",,33.685268,-84.059012,,,,,,0
220,400028,"West Douglas Park and Ride",,33.723283,-84.773527,,,,,,0
221,400029,"Woodstock Park and Ride",,34.081564,-84.541754,,,,,,0
222,400100,"Central Ave at MLK Jr Dr",,33.751016,-84.389602,,,,,,0
223,400101,"Ivan Allen at Alexander St",,33.764941,-84.386791,,,,,,0
224,400102,"John Portman Blvd at Peachtree St",,33.760919,-84.387842,,,,,,0
225,400103,"Mitchell St at Forsyth St",,33.751731,-84.394568,,,,,,0
226,400104,"Pryor St at Mitchell St",,33.750760,-84.391590,,,,,,0
227,400105,"Ted Turner Dr at Mitchell St",,33.752210,-84.395785,,,,,,0
228,400106,"Wall St at Central Ave",,33.752609,-84.388563,,,,,,0
229,400107,"Williams St at Baker St",,33.762462,-84.390664,,,,,,0
230,400110,"Baker St at Williams St",,33.762355,-84.390278,,,,,,0
231,400112,"Courtland St at Gilmer St",,33.753385,-84.385553,,,,,,0
232,400113,"Washington St at MLK Jr Dr",,33.750313,-84.388400,,,,,,0
233,400135,"Ted Turner Dr at West Peachtree Pl",,33.763835,-84.388905,,,,,,0
234,400200,"North Ave at Peachtree St",,33.771285,-84.385403,,,,,,0
235,400203,"Spring St at 17th St",,33.790321,-84.389420,,,,,,0
236,400204,"Spring St at 5th St",,33.777026,-84.388905,,,,,,0
237,400205,"Spring St just before Linden Ave",,33.770226,-84.388960,,,,,,0
238,400206,"West Peachtree St at 12th St",,33.784254,-84.387771,,,,,,0
239,400208,"Arts Center MARTA Station",,33.789216,-84.387692,,,,,,0
