stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
124,124,Brook Hollow Pkwy & FedEx Entrance,,33.919148999999997,-84.212826000000007,,,0,,0
1253,593,Park Dr & Beaver Ruin Rd IB,,33.933562000000002,-84.153022000000007,,,0,,0
126,126,Boggs Rd & Autumn Village Ct,,33.955281999999997,-84.094483999999994,,,0,,0
128,128,Boggs Rd & Astor Place Apts,,33.951411999999998,-84.091880000000003,,,0,,0
129,129,Boggs Rd & Magnolia Pointe Apts,,33.954013000000003,-84.093700999999996,,,0,,0
13,61,Brook Hollow Pkwy & N Norcross,,33.920546999999999,-84.214867999999996,,,0,,0
130,130,Boggs Rd & Post Office (Main Entrance),,33.958722000000002,-84.093975,,,0,,0
131,131,Boggs Rd & Quick Trip IB,,33.970779999999998,-84.098429999999993,,,0,,0
1312,876,Atkinson Rd & Atkinson Park Dr IB,,33.969061000000004,-84.073149000000001,,,0,,0
1314,935,Singleton Rd & Myrtle Creek Dr,,33.908257999999996,-84.185220999999999,,,0,,0
1316,1035,Lonnie Harvel Blvd & GGC Housing IB,,33.980791000000004,-84.008044999999996,,,0,,0
132,132,Boggs Rd & Meridian Apts,,33.954369,-84.094290999999998,,,0,,0
133,133,Boggs Rd & Old Norcross Rd,,33.949846999999998,-84.091046000000006,,,0,,0
134,134,Boggs Rd & NCR1 (side entrance) OB,,33.970779,-84.098714000000001,,,0,,0
135,135,Boggs Rd & PInemeadow Ct (GE) OB,,33.972920000000002,-84.099644999999995,,,0,,0
139,139,Breckinridge Blvd & Duluth Hwy,,33.976421000000002,-84.083151000000001,,,0,,0
1418,184,Buford Hwy & Andy Glass OB,,33.914541,-84.261696000000001,,,0,,0
142,142,Breckinridge Blvd & Marcos Pizza OB,,33.956629999999997,-84.112053000000003,,,0,,0
1423,462,Lawrenceville Hwy & Don Pedro OB,,33.904026000000002,-84.115881999999999,,,0,,0
144,144,3350 Breckinridge Blvd (across),,33.954926999999998,-84.120043999999993,,,0,,0
1445,866,Satellite Blvd & The Maddox Apts IB,,33.946078,-84.156475,,,0,,0
1449,693,Satellite Blvd & Gwinnett Place Ford,,33.961815999999999,-84.118870000000001,,,0,,0
145,145,Breckinridge Blvd & The Enclave @ Breck,,33.965040000000002,-84.085875999999999,,,0,,0
147,147,Breckinridge Blvd & Friendly Village,,33.975116,-84.083629999999999,,,0,,0
148,148,Breckinridge Blvd & Kia Building,,33.965648999999999,-84.085802000000001,,,0,,0
149,149,Breckinridge Blvd & Newpoint Pl,,33.971899000000001,-84.085329000000002,,,0,,0
151,151,Breckinridge Blvd & RICOH (across),,33.971404999999997,-84.085229999999996,,,0,,0
153,153,Breckinridge Blvd & Fairfield Inn,,33.950189000000002,-84.126870999999994,,,0,,0
155,155,Breckinridge Blvd & Boggs Rd,,33.961230999999998,-84.094542000000004,,,0,,0
159,159,Brook Hollow Pkwy & PepBoys,,33.917864999999999,-84.21078,,,0,,0
160,160,Brook Hollow Pkwy &Victory World Church,,33.919693000000002,-84.202831000000003,,,0,,0
161,161,Brook Hollow Pkwy & Indian Trail Rd OB,,33.930028,-84.178128999999998,,,0,,0
163,163,Brook Hollow Pkwy & Financial Dr OB,,33.918925999999999,-84.204893999999996,,,0,,0
164,164,Brook Hollow Pkwy & Mitchell Rd OB,,33.923053000000003,-84.188547,,,0,,0
165,165,Brook Hollow Pkwy & Mitchell Rd IB,,33.922730000000001,-84.189599000000001,,,0,,0
171,171,Brook Hollow Pkwy & Pinnacle Way OB,,33.927681,-84.183171999999999,,,0,,0
172,172,Brook Hollow Pkwy & Pinnacle Way IB,,33.927885000000003,-84.183267999999998,,,0,,0
174,174,Brook Hollow Pkwy & Jimmy Carter Blvd IB,,33.917962000000003,-84.207824000000002,,,0,,0
176,176,Brook Hollow Pkwy & Spring Lake Apts,,33.920051000000001,-84.200295999999994,,,0,,0
177,177,Brook Hollow Pkwy & Spring Lake Apts OB,,33.920251999999998,-84.200564999999997,,,0,,0
178,178,Brook Hollow Pkwy & EBD OB,,33.920028000000002,-84.198672999999999,,,0,,0
179,179,Brown Rd & Sugarloaf Pkwy IB,,33.985334999999999,-84.080524999999994,,,0,,0
180,180,Buford Hwy & Amwiler OB,,33.923945000000003,-84.250990999999999,,,0,,0
182,182,Buford Hwy & N Berkeley Lake Rd IB,,33.975850000000001,-84.164203000000001,,,0,,0
1838,1054,Clifton Rd & Houston Mill Rd,,33.798709000000002,-84.324010000000001,,,0,,0
186,186,Buford Hwy & East Lake Dr (across) OB,,33.922995999999998,-84.252420000000001,,,0,,0
187,187,Buford Hwy & Gravitt Tr IB,,33.973469999999999,-84.167478000000003,,,0,,0
189,189,Buford Hwy & Pine St OB,,33.929578999999997,-84.234346000000002,,,0,,0
1894,1066,Civic Center MARTA Station,,33.766278,-84.387360999999999,,,0,,0
1895,60,Beaver Ruin Rd & Buford Hwy (McD's),,33.944569000000001,-84.204421999999994,,,0,,0
1896,7,Beaver Ruin Rd & Price Pl,,33.941040000000001,-84.204013000000003,,,0,,0
1897,62,Brook Hollow Pkwy & N Norcross,,33.920808999999998,-84.214782,,,0,,0
1898,24,Central Ave @ Mitchell St,,33.749512000000003,-84.390690000000006,,,0,,0
1899,20,Civic Center MARTA Station,,33.766648000000004,-84.387647999999999,,,0,,0
1900,9,Dawson/Live Oak & Jimmy Carter Blvd,,33.907341000000002,-84.204821999999993,,,0,,0
1902,17,Gwinnett Justice & Admin Center,,33.950637,-83.995067000000006,,,0,,0
1903,67,Gwinnett Justice & Admin Center,,33.952173000000002,-83.992756999999997,,,0,,0
1904,15,Peachtree Corners Cir & Holcomb Bridge R,,33.958759000000001,-84.246874000000005,,,0,,0
1905,30,Lawrenceville Hwy & Indian Trail/Killian,,33.894851000000003,-84.140300999999994,,,0,,0
1906,65,Lawrenceville Hwy & Indian Trail Rd,,33.894945,-84.140578000000005,,,0,,0
1907,11,Live Oak Pkwy & Thompson Pkwy OB,,33.906019000000001,-84.202669,,,0,,0
