route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15748,MARTA,183,Greenbriar,,3,https://itsmarta.com/183.aspx,008000,000000
15749,MARTA,185,Alpharetta,,3,https://itsmarta.com/185.aspx,FF8000,000000
15750,MARTA,186,Rainbow Drive / South DeKalb,,3,https://itsmarta.com/186.aspx,00FF00,000000
15751,MARTA,188,Oakley Industrial,,3,https://itsmarta.com/188.aspx,FF00FF,000000
15752,MARTA,189,Flat Shoals Road / Scofield Road,,3,https://itsmarta.com/189.aspx,FF00FF,000000
15753,MARTA,191,Riverdale / ATL Intl Terminal,,3,https://itsmarta.com/191.aspx,FF00FF,000000
15754,MARTA,192,Old Dixie / Tara Boulevard,,3,https://itsmarta.com/192.aspx,008000,000000
15755,MARTA,193,Morrow / Jonesboro,,3,https://itsmarta.com/193.aspx,008080,000000
15756,MARTA,194,Conley Road / Mt Zion,,3,https://itsmarta.com/194.aspx,008000,000000
15757,MARTA,195,Forest Parkway,,3,https://itsmarta.com/195.aspx,FF00FF,000000
15758,MARTA,196,Upper Riverdale / Southlake,,3,https://itsmarta.com/196.aspx,00FFFF,000000
15792,MARTA,197,Southlake Parkway,,3,https://itsmarta.com/197.aspx,FF00FF,000000
15793,MARTA,198,Battle Creek Road,,3,https://itsmarta.com/198.aspx,00FF00,000000
15759,MARTA,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,000000
15760,MARTA,221,Memorial Drive Limited,,3,https://itsmarta.com/221.aspx,FF00FF,000000
15761,MARTA,295,Metropolitan Campus Express,,3,https://itsmarta.com/295.aspx,008000,000000
15771,MARTA,800,Lovejoy,,3,https://itsmarta.com/800.aspx,00FF00,000000
15772,MARTA,809,Monroe Drive / Boulevard,,3,https://itsmarta.com/809.aspx,FF0000,000000
15773,MARTA,813,Atlanta University Center,,3,https://itsmarta.com/813.aspx,00FFFF,000000
15774,MARTA,816,North Highland Avenue,,3,https://itsmarta.com/816.aspx,00FFFF,000000
15775,MARTA,823,Belvedere,,3,https://itsmarta.com/823.aspx,00FF00,000000
15776,MARTA,825,Johnson Ferry Road,,3,https://itsmarta.com/825.aspx,FF0000,000000
15777,MARTA,832,Grant Park,,3,https://itsmarta.com/832.aspx,00FF00,000000
15778,MARTA,850,Carroll Heights / Fairburn Heights,,3,https://itsmarta.com/850.aspx,FF00FF,000000
15779,MARTA,853,Center Hill,,3,https://itsmarta.com/853.aspx,A6CAF0,000000
15780,MARTA,856,Baker Hills / Wilson Mill Meadows,,3,https://itsmarta.com/856.aspx,FF8040,000000
15781,MARTA,865,Boulder Park Drive,,3,https://itsmarta.com/865.aspx,00FF00,000000
15782,MARTA,867,Peyton Forest / Dixie Hills,,3,https://itsmarta.com/867.aspx,00FFFF,000000
15783,MARTA,899,Old Fourth Ward,,3,https://itsmarta.com/899.aspx,FF00FF,000000
15785,MARTA,ATLSC,Atlanta Streetcar,,0,https://itsmarta.com/Atlanta-Street-Car-Info.aspx,FF00FF,000000
15787,MARTA,BLUE,BLUE,,1,https://itsmarta.com/Blue-Line.aspx,0075B2,000000
15788,MARTA,GOLD,GOLD,,1,https://itsmarta.com/Green-Line.aspx,D4A723,000000
15789,MARTA,GREEN,GREEN,,1,https://itsmarta.com/Green-Line.aspx,009D4B,000000
15790,MARTA,RED,RED,,1,https://itsmarta.com/Red-Line.aspx,CE242B,000000
